背番号,選手名,守備,生年月日,年齢,プロ年数,身長,体重,血液型,投打,出身地,推定年俸(万円),2019年所属球団,生年年,生年月,生年日,選手名_球団,選手名_生年月日,出場試合数,出身地域,出身校,高・大フラグ,オリックス,ソフトバンク,ヤクルト,ロッテ,中日,巨人,広島,日ハム,楽天,横浜,西武,阪神,直近10年間月間MVP受賞回数,直近10年間GG受賞回数,最大所属年数,最大所属年数球団,ネックレス太さ,目的変数_ネックレス装着フラグ,外国人フラグ,育成,2019年セパフラグ,最大所属年数球団_adj
0,曽根海成,内野手,1995-04-24,24,6,175,68,A型,右左,大阪,700,広島,1995,4,24,曽根海成_広島,曽根海成_1995-04-24,64.0,近畿,京都国際高,高校,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ソフトバンク,0.0,0.0,国内,0,セリーグ,ソフトバンク
0,上本崇司,内野手,1990-08-22,29,7,170,71,A型,右両,広島,1000,広島,1990,8,22,上本崇司_広島,上本崇司_1990-08-22,31.0,中国,明大,大学,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,広島,0.0,0.0,国内,0,セリーグ,広島
1,鈴木誠也,外野手,1994-08-18,25,7,181,96,A型,右右,東京,16000,広島,1994,8,18,鈴木誠也_広島,鈴木誠也_1994-08-18,140.0,東京,二松学舎大付高,高校,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,広島,0.0,0.0,国内,0,セリーグ,広島
2,田中広輔,内野手,1989-07-03,30,6,171,82,A型,右左,神奈川,18000,広島,1989,7,3,田中広輔_広島,田中広輔_1989-07-03,97.0,関東,東海大,大学,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,広島,0.0,0.0,国内,0,セリーグ,広島
4,小窪哲也,内野手,1985-04-12,34,12,175,83,O型,右右,奈良,3100,広島,1985,4,12,小窪哲也_広島,小窪哲也_1985-04-12,51.0,近畿,青学大,大学,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
5,長野久義,外野手,1984-12-06,34,10,180,85,O型,右右,佐賀,22000,広島,1984,12,6,長野久義_広島,長野久義_1984-12-06,72.0,九州,日大,大学,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,巨人,0.0,0.0,国内,0,セリーグ,巨人
6,安部友裕,内野手,1989-06-24,30,12,181,81,O型,右左,福岡,4100,広島,1989,6,24,安部友裕_広島,安部友裕_1989-06-24,114.0,九州,福岡工大城東高,高校,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
7,堂林翔太,内野手,1991-08-17,28,10,183,88,A型,右右,愛知,1600,広島,1991,8,17,堂林翔太_広島,堂林翔太_1991-08-17,28.0,東海,中京大中京高,高校,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,広島,0.0,0.0,国内,0,セリーグ,広島
10,岩本貴裕,外野手,1986-04-18,33,11,182,96,A型,左左,広島,1000,広島,1986,4,18,岩本貴裕_広島,岩本貴裕_1986-04-18,1.0,中国,亜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
12,九里亜蓮,投手,1991-09-01,28,6,187,95,A型,右右,鳥取,6200,広島,1991,9,1,九里亜蓮_広島,九里亜蓮_1991-09-01,27.0,中国,亜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,広島,0.0,0.0,国内,0,セリーグ,広島
13,矢崎拓也,投手,1994-12-31,24,3,176,90,O型,右右,東京,1200,広島,1994,12,31,矢崎拓也_広島,矢崎拓也_1994-12-31,5.0,東京,慶大,大学,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,広島,0.0,0.0,国内,0,セリーグ,広島
14,大瀬良大地,投手,1991-06-17,28,6,187,93,AB型,右右,長崎,14500,広島,1991,6,17,大瀬良大地_広島,大瀬良大地_1991-06-17,26.0,九州,九州共立大,大学,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,広島,0.0,0.0,国内,0,セリーグ,広島
16,今村猛,投手,1991-04-17,28,10,183,105,B型,右右,長崎,8700,広島,1991,4,17,今村猛_広島,今村猛_1991-04-17,27.0,九州,清峰高,高校,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,広島,0.0,0.0,国内,0,セリーグ,広島
17,岡田明丈,投手,1993-10-18,26,4,185,92,AB型,右左,東京,5500,広島,1993,10,18,岡田明丈_広島,岡田明丈_1993-10-18,3.0,東京,大商大,大学,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国内,0,セリーグ,広島
19,野村祐輔,投手,1989-06-24,30,8,177,84,AB型,右右,岡山,12000,広島,1989,6,24,野村祐輔_広島,野村祐輔_1989-06-24,18.0,中国,明大,大学,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,広島,0.0,0.0,国内,0,セリーグ,広島
20,永川勝浩,投手,1980-12-14,38,17,188,98,O型,右右,広島,2000,広島,1980,12,14,永川勝浩_広島,永川勝浩_1980-12-14,1.0,中国,亜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
21,中﨑翔太,投手,1992-08-10,27,9,186,100,B型,右右,鹿児島,16000,広島,1992,8,10,中﨑翔太_広島,中﨑翔太_1992-08-10,36.0,九州,日南学園高,高校,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国内,0,セリーグ,広島
22,中村奨成,捕手,1999-06-06,20,2,181,76,B型,右右,広島,800,広島,1999,6,6,中村奨成_広島,中村奨成_1999-06-06,0.0,中国,広陵高,高校,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国内,0,セリーグ,広島
23,薮田和樹,投手,1992-08-07,27,5,188,88,B型,右右,広島,3700,広島,1992,8,7,薮田和樹_広島,薮田和樹_1992-08-07,4.0,中国,亜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,広島,0.0,0.0,国内,0,セリーグ,広島
24,横山弘樹,投手,1992-03-12,27,4,187,86,O型,右左,宮崎,800,広島,1992,3,12,横山弘樹_広島,横山弘樹_1992-03-12,0.0,九州,桐蔭横浜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,広島,0.0,0.0,国内,0,セリーグ,広島
26,中田廉,投手,1990-07-21,29,11,189,95,AB型,右右,大阪,2700,広島,1990,7,21,中田廉_広島,中田廉_1990-07-21,8.0,近畿,広陵高,高校,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
27,會澤翼,捕手,1988-04-13,31,13,177,91,B型,右右,茨城,9200,広島,1988,4,13,會澤翼_広島,會澤翼_1988-04-13,126.0,関東,水戸短大付高,高校,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
28,床田寛樹,投手,1995-03-01,24,3,181,85,A型,左左,兵庫,650,広島,1995,3,1,床田寛樹_広島,床田寛樹_1995-03-01,25.0,近畿,中部学院大,大学,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,広島,0.0,0.0,国内,0,セリーグ,広島
29,ケムナ誠,投手,1995-06-05,24,2,192,95,B型,右右,アメリカ,700,広島,1995,6,5,ケムナ誠_広島,ケムナ誠_1995-06-05,1.0,アメリカ,日本文理大,大学,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国外,0,セリーグ,広島
30,一岡竜司,投手,1991-01-11,28,8,179,86,O型,右右,福岡,7700,広島,1991,1,11,一岡竜司_広島,一岡竜司_1991-01-11,33.0,九州,大分藤蔭高,高校,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,広島,0.0,0.0,国内,0,セリーグ,広島
31,石原慶幸,捕手,1979-09-07,40,18,177,90,A型,右右,岐阜,7000,広島,1979,9,7,石原慶幸_広島,石原慶幸_1979-09-07,31.0,東海,東北福祉大,大学,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,広島,0.0,0.0,国内,0,セリーグ,広島
